Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Enabled LML Repair - North Seattle,Current Quantity LML Repair - North Seattle,New Quantity LML Repair - North Seattle,Stock Alert Enabled LML Repair - North Seattle,Stock Alert Count LML Repair - North Seattle,Price LML Repair - North Seattle,Enabled LML Repair - Seattle,Current Quantity LML Repair - Seattle,New Quantity LML Repair - Seattle,Stock Alert Enabled LML Repair - Seattle,Stock Alert Count LML Repair - Seattle,Price LML Repair - Seattle,Enabled LML Repair - West Seattle,Current Quantity LML Repair - West Seattle,New Quantity LML Repair - West Seattle,Stock Alert Enabled LML Repair - West Seattle,Stock Alert Count LML Repair - West Seattle,Price LML Repair - West Seattle,Modifier Set - Add Ons
BG4MNDCKXQH3PGXEHLKEHQ4U,Apple  Watch Series 1 (38MM) Screen | Repair Kit,Regular,,"<p><em>The Apple iWatch Series 1 (38MM) Screen Repair Kit provides everything you need to replace a damaged or cracked screen on your 38MM Apple iWatch Series 1. The kit typically includes a replacement screen, necessary tools for the repair, and instructions to guide you through the process. It’s designed to restore the functionality and appearance of your iWatch, making it a cost-effective solution for screen damage.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The Apple iWatch Series 1 (38MM) Screen Repair Kit provides everything you need to replace a damaged or cracked screen on your 38MM Apple iWatch Series 1. The kit typically includes a replacement screen, necessary tools for the repair, and instructions to guide you through the process. It’s designed to restore the functionality and appearance of your iWatch, making it a cost-effective solution for screen damage.",,,visible,Physical good,,,,Y,N,N,N,65.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
FCN7FIYBQX2TK7ZPAUKVP3RJ,Apple  Watch Series 1 (42MM) Screen | Repair Kit,Regular,,"<p><em> This kit includes all the necessary components and tools to replace the screen on an Apple iWatch Series 1 with a 42MM display. It typically contains a high-quality replacement screen, precision screwdrivers, adhesive strips, and other essential tools to facilitate a smooth and efficient repair process. Ideal for those experiencing display issues such as cracks, dead pixels, or unresponsive touchscreens, the kit is designed to restore the functionality and appearance of the smartwatch.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"This kit includes all the necessary components and tools to replace the screen on an Apple iWatch Series 1 with a 42MM display. It typically contains a high-quality replacement screen, precision screwdrivers, adhesive strips, and other essential tools to facilitate a smooth and efficient repair process. Ideal for those experiencing display issues such as cracks, dead pixels, or unresponsive touchscreens, the kit is designed to restore the functionality and appearance of the smartwatch.",,,visible,Physical good,,,,Y,N,N,N,68.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
DCPLICIBBFW3OUUI7SUTUXTF,Apple  Watch Series 2 (42MM) Screen | Repair Kit,Regular,,"<p><em>The Apple iWatch Series 2 (42MM) Screen Repair Kit provides everything you need to replace a damaged or cracked screen on your 42MM Series 2 Apple Watch. This kit includes a high-quality replacement screen, precision tools for disassembly, and adhesive strips for a secure fit. Ideal for DIY repairs, it helps restore your watch to its original condition with clear, responsive touch functionality.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The Apple iWatch Series 2 (42MM) Screen Repair Kit provides everything you need to replace a damaged or cracked screen on your 42MM Series 2 Apple Watch. This kit includes a high-quality replacement screen, precision tools for disassembly, and adhesive strips for a secure fit. Ideal for DIY repairs, it helps restore your watch to its original condition with clear, responsive touch functionality.",,,hidden,Physical good,,,,Y,N,N,N,100.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
SO6K6F4BEFGSFS4SV5QIQAQA,Apple  Watch Series 3 (38MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 3 (38MM) Parts Kit is specifically designed to help you repair and restore your Apple Watch to its optimal condition. This comprehensive kit includes high-quality replacement components such as the screen assembly, battery, back cover, and other essential parts. Each component is engineered to match the original specifications, ensuring seamless functionality and a perfect fit.</em></p><p><em>Accompanied by precision tools and clear, detailed instructions, this kit is suitable for both DIY enthusiasts and professional technicians. </em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,106.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,,,,,,N
G3UDJKRTJR4ZYZJDMNKYHBQX,Apple  Watch Series 3 (38MM) Screen | Repair Kit,Regular,,"<p><em>The Apple Watch Series 3 (38MM) Screen Repair Kit is designed for replacing a damaged or cracked screen on the 38MM model of the iWatch Series 3. This kit typically includes a high-quality replacement screen, essential tools for the repair process, and detailed instructions to guide you through the replacement. Ideal for DIY enthusiasts, it offers a cost-effective solution for restoring your iWatch’s display to its original condition.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The Apple iWatch Series 3 (38MM) Screen Repair Kit is designed for replacing a damaged or cracked screen on the 38MM model of the iWatch Series 3. This kit typically includes a high-quality replacement screen, essential tools for the repair process, and detailed instructions to guide you through the replacement. Ideal for DIY enthusiasts, it offers a cost-effective solution for restoring your iWatch’s display to its original condition.",,,visible,Physical good,,,,Y,N,N,N,106.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
XBGOEYFQRH7OZJ6LM4AFVQ4G,Apple Watch (Series 4) (40MM) Screen | Part,Regular,,"The Apple Watch Series 4 (40MM) Parts Kit is a meticulously curated collection designed for efficient and effective repairs of your Apple Watch. This kit includes essential replacement components such as the display assembly, battery, back cover, and digital crown. Each part is engineered to restore the functionality and appearance of your device to its original state.",,,,,,,hidden,Physical good,,,,Y,N,N,N,98.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
ZBYZDTB3JFS2ZC2USC2CCUMQ,Apple Watch (Series 4) (40MM) Screen | Repair Kit,Regular,,"<p><em>The &#34;Apple Watch (Series 4) (40MM) Screen | Repair Kit&#34; provides all the necessary tools and components to replace a damaged or broken screen on the Apple Watch Series 4 (40mm). This repair kit includes a high-quality replacement screen, adhesive, and precision tools to assist in the disassembly and reassembly process, ensuring a smooth and efficient repair. Ideal for users looking to restore their smartwatch&#39;s display to its original condition.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,,,,visible,Physical good,,,,Y,N,N,N,98.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
7VQLBD5ZC2VJ4UBXQYTR7DHJ,Apple Watch (Series 4) (44MM) Screen | Part,Regular,,"<p><em>The Apple Watch (Series 4) (44MM) Parts Kit is expertly assembled to support the repair and maintenance of your Apple Watch Series 4. This kit includes essential high-quality replacement components such as the screen assembly, battery, back cover, and more, tailored specifically for the 44MM model.</em></p><p><em>Designed for both DIY enthusiasts and professional technicians, the kit comes with precision tools and detailed instructions to ensure a smooth repair process. </em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,118.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
Y4ZAPD6WJECUZPXVA2GDHWPI,Apple Watch (Series 4) (44MM) Screen | Repair Kit,Regular,,"<p><em>The &#34;Apple Watch (Series 4) (44MM) Screen Repair Kit&#34; includes all necessary components and tools to replace a damaged or malfunctioning screen on an Apple Watch Series 4 (44MM). The kit typically features a high-quality replacement screen, adhesive strips, and precision tools for a seamless repair process. Ideal for restoring the display&#39;s functionality and clarity, it ensures that the watch maintains its original appearance and performance.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The ""Apple Watch (Series 4) (44MM) Screen Repair Kit"" includes all necessary components and tools to replace a damaged or malfunctioning screen on an Apple Watch Series 4 (44MM). The kit typically features a high-quality replacement screen, adhesive strips, and precision tools for a seamless repair process. Ideal for restoring the display's functionality and clarity, it ensures that the watch maintains its original appearance and performance.",,,visible,Physical good,,,,Y,N,N,N,118.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
55CDI7EGKFCF7OVQKM5NA6BL,Apple Watch Series 1 (38MM) Screen | Part,Regular,,"The Apple Watch Series 1 (38MM) Parts Kit is specifically designed to help you repair and restore your Apple Watch with precision. This comprehensive kit includes high-quality replacement components such as the display assembly, battery, back cover, touch screen digitizer, and more. Each part is engineered to match the original specifications of your Apple Watch Series 1, ensuring optimal functionality and appearance.",,,,,,,hidden,Physical good,,,,Y,N,N,N,65.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
